ROS Processes Log
iteration: 22 ; CPU: .28% ; MEM: .60 
iteration: 221 ; CPU: 29.04% ; MEM: 4569.24 
iteration: 222 ; CPU: 51.67% ; MEM: 4579.52 
iteration: 223 ; CPU: 52.98% ; MEM: 4531.01 
iteration: 224 ; CPU: 40.58% ; MEM: 4447.83 
iteration: 225 ; CPU: 27.77% ; MEM: 4347.36 
iteration: 226 ; CPU: 27.37% ; MEM: 4358.34 
iteration: 227 ; CPU: 27.54% ; MEM: 4358.85 
iteration: 228 ; CPU: 27.74% ; MEM: 4358.88 
iteration: 229 ; CPU: 37.99% ; MEM: 4314.26 
iteration: 230 ; CPU: 38.56% ; MEM: 4314.26 
iteration: 231 ; CPU: 39.12% ; MEM: 4314.32 
iteration: 232 ; CPU: 27.26% ; MEM: 4269.75 
iteration: 233 ; CPU: 27.40% ; MEM: 4269.75 
iteration: 234 ; CPU: 27.57% ; MEM: 4269.75 
iteration: 235 ; CPU: 27.73% ; MEM: 4269.75 
iteration: 236 ; CPU: 26.84% ; MEM: 4269.75 
iteration: 237 ; CPU: 26.97% ; MEM: 4269.75 
iteration: 238 ; CPU: 27.13% ; MEM: 4269.75 
iteration: 239 ; CPU: 27.30% ; MEM: 4269.75 
iteration: 240 ; CPU: 27.47% ; MEM: 4269.75 
iteration: 241 ; CPU: 27.68% ; MEM: 4269.75 
iteration: 242 ; CPU: 27.87% ; MEM: 4269.75 
iteration: 243 ; CPU: 26.95% ; MEM: 4269.75 
iteration: 244 ; CPU: 27.12% ; MEM: 4269.75 
iteration: 245 ; CPU: 27.24% ; MEM: 4269.75 
iteration: 246 ; CPU: 27.40% ; MEM: 4269.75 
iteration: 247 ; CPU: 27.58% ; MEM: 4269.75 
iteration: 248 ; CPU: 27.72% ; MEM: 4269.75 
iteration: 249 ; CPU: 27.89% ; MEM: 4269.75 
iteration: 250 ; CPU: 28.02% ; MEM: 4269.75 
iteration: 251 ; CPU: 27.17% ; MEM: 4269.75 
iteration: 252 ; CPU: 27.33% ; MEM: 4269.75 
iteration: 253 ; CPU: 27.44% ; MEM: 4269.75 
iteration: 254 ; CPU: 27.59% ; MEM: 4269.75 
iteration: 255 ; CPU: 27.73% ; MEM: 4269.75 
iteration: 256 ; CPU: 27.89% ; MEM: 4269.75 
iteration: 257 ; CPU: 28.00% ; MEM: 4269.75 
iteration: 258 ; CPU: 27.20% ; MEM: 4269.75 
iteration: 259 ; CPU: 27.30% ; MEM: 4269.75 
iteration: 260 ; CPU: 27.45% ; MEM: 4269.75 
iteration: 261 ; CPU: 27.62% ; MEM: 4269.75 
iteration: 262 ; CPU: 27.76% ; MEM: 4269.75 
iteration: 263 ; CPU: 27.91% ; MEM: 4269.75 
iteration: 264 ; CPU: 28.04% ; MEM: 4269.75 
iteration: 265 ; CPU: 27.21% ; MEM: 4269.75 
iteration: 266 ; CPU: 27.36% ; MEM: 4270.01 
