ROS Processes Log
iteration: 376 ; CPU: 69.75% ; MEM: 7968.00 MB
iteration: 377 ; CPU: 70.33% ; MEM: 7972.63 MB
iteration: 378 ; CPU: 71.10% ; MEM: 7977.44 MB
iteration: 379 ; CPU: 71.68% ; MEM: 7977.86 MB
iteration: 380 ; CPU: 72.33% ; MEM: 7988.89 MB
iteration: 381 ; CPU: 69.07% ; MEM: 7984.77 MB
iteration: 382 ; CPU: 69.47% ; MEM: 7985.57 MB
iteration: 383 ; CPU: 69.81% ; MEM: 7985.91 MB
iteration: 384 ; CPU: 70.18% ; MEM: 7986.01 MB
iteration: 385 ; CPU: 70.58% ; MEM: 7996.07 MB
iteration: 386 ; CPU: 71.08% ; MEM: 7998.01 MB
iteration: 387 ; CPU: 68.86% ; MEM: 8011.51 MB
iteration: 388 ; CPU: 69.29% ; MEM: 8018.16 MB
iteration: 389 ; CPU: 69.68% ; MEM: 8015.25 MB
iteration: 390 ; CPU: 69.99% ; MEM: 8017.55 MB
iteration: 391 ; CPU: 70.33% ; MEM: 8018.10 MB
iteration: 392 ; CPU: 68.09% ; MEM: 8019.02 MB
iteration: 393 ; CPU: 68.54% ; MEM: 8033.83 MB
iteration: 394 ; CPU: 68.85% ; MEM: 8034.12 MB
iteration: 395 ; CPU: 69.12% ; MEM: 8034.12 MB
iteration: 396 ; CPU: 69.46% ; MEM: 8034.38 MB
iteration: 397 ; CPU: 67.66% ; MEM: 8035.15 MB
iteration: 398 ; CPU: 67.95% ; MEM: 8035.15 MB
iteration: 399 ; CPU: 68.24% ; MEM: 8035.15 MB
iteration: 400 ; CPU: 68.49% ; MEM: 8035.15 MB
iteration: 401 ; CPU: 68.83% ; MEM: 8035.15 MB
iteration: 402 ; CPU: 67.31% ; MEM: 8037.73 MB
iteration: 403 ; CPU: 67.58% ; MEM: 8038.50 MB
iteration: 404 ; CPU: 67.93% ; MEM: 8039.13 MB
iteration: 405 ; CPU: 68.18% ; MEM: 8039.19 MB
iteration: 406 ; CPU: 68.43% ; MEM: 8039.19 MB
iteration: 407 ; CPU: 68.68% ; MEM: 8039.19 MB
iteration: 408 ; CPU: 67.27% ; MEM: 8039.44 MB
iteration: 409 ; CPU: 67.60% ; MEM: 8042.53 MB
iteration: 410 ; CPU: 67.85% ; MEM: 8042.83 MB
iteration: 411 ; CPU: 68.07% ; MEM: 8043.09 MB
iteration: 412 ; CPU: 68.34% ; MEM: 8043.09 MB
iteration: 413 ; CPU: 66.94% ; MEM: 8043.09 MB
iteration: 414 ; CPU: 67.22% ; MEM: 8019.06 MB
iteration: 415 ; CPU: 67.49% ; MEM: 8019.05 MB
iteration: 416 ; CPU: 67.71% ; MEM: 8023.61 MB
iteration: 417 ; CPU: 67.94% ; MEM: 8023.60 MB
iteration: 418 ; CPU: 66.72% ; MEM: 8024.18 MB
iteration: 419 ; CPU: 66.99% ; MEM: 8024.18 MB
iteration: 420 ; CPU: 67.28% ; MEM: 8024.18 MB
iteration: 421 ; CPU: 67.54% ; MEM: 8024.18 MB
iteration: 422 ; CPU: 67.77% ; MEM: 8024.41 MB
iteration: 423 ; CPU: 66.57% ; MEM: 8024.41 MB
iteration: 424 ; CPU: 66.85% ; MEM: 8024.41 MB
iteration: 425 ; CPU: 67.11% ; MEM: 8024.42 MB
iteration: 426 ; CPU: 67.32% ; MEM: 8024.68 MB
iteration: 427 ; CPU: 67.60% ; MEM: 8025.53 MB
iteration: 428 ; CPU: 67.85% ; MEM: 8025.53 MB
iteration: 429 ; CPU: 66.76% ; MEM: 8025.65 MB
iteration: 430 ; CPU: 66.97% ; MEM: 8025.65 MB
iteration: 431 ; CPU: 67.25% ; MEM: 8025.76 MB
iteration: 432 ; CPU: 67.49% ; MEM: 8025.76 MB
iteration: 433 ; CPU: 67.68% ; MEM: 8025.76 MB
iteration: 434 ; CPU: 66.60% ; MEM: 8025.76 MB
iteration: 435 ; CPU: 66.80% ; MEM: 8025.76 MB
iteration: 436 ; CPU: 67.07% ; MEM: 8025.76 MB
iteration: 437 ; CPU: 67.29% ; MEM: 8025.74 MB
iteration: 438 ; CPU: 67.49% ; MEM: 8025.74 MB
iteration: 439 ; CPU: 67.68% ; MEM: 8025.74 MB
iteration: 440 ; CPU: 66.68% ; MEM: 8025.74 MB
iteration: 441 ; CPU: 66.94% ; MEM: 8025.74 MB
iteration: 442 ; CPU: 67.17% ; MEM: 8025.75 MB
iteration: 443 ; CPU: 67.44% ; MEM: 8025.75 MB
iteration: 444 ; CPU: 67.69% ; MEM: 8025.75 MB
iteration: 445 ; CPU: 66.67% ; MEM: 8025.75 MB
iteration: 446 ; CPU: 66.93% ; MEM: 8025.75 MB
iteration: 447 ; CPU: 67.11% ; MEM: 8025.75 MB
iteration: 448 ; CPU: 67.36% ; MEM: 8025.75 MB
