ROS Processes Log
iteration: 299 ; CPU: 60.49% ; MEM: 7636.34 MB
iteration: 300 ; CPU: 60.77% ; MEM: 7636.34 MB
iteration: 301 ; CPU: 61.06% ; MEM: 7685.83 MB
iteration: 302 ; CPU: 61.34% ; MEM: 7700.78 MB
iteration: 303 ; CPU: 61.63% ; MEM: 7714.36 MB
iteration: 304 ; CPU: 63.74% ; MEM: 7731.13 MB
iteration: 305 ; CPU: 65.38% ; MEM: 7751.84 MB
iteration: 306 ; CPU: 67.18% ; MEM: 7773.78 MB
iteration: 307 ; CPU: 69.11% ; MEM: 7776.87 MB
iteration: 308 ; CPU: 71.15% ; MEM: 7794.12 MB
iteration: 309 ; CPU: 66.30% ; MEM: 7846.82 MB
iteration: 310 ; CPU: 67.99% ; MEM: 7860.92 MB
iteration: 311 ; CPU: 69.45% ; MEM: 7872.90 MB
iteration: 312 ; CPU: 70.89% ; MEM: 7902.12 MB
iteration: 313 ; CPU: 71.80% ; MEM: 7904.40 MB
iteration: 314 ; CPU: 68.65% ; MEM: 7932.13 MB
iteration: 315 ; CPU: 69.75% ; MEM: 7947.21 MB
iteration: 316 ; CPU: 70.62% ; MEM: 7952.41 MB
iteration: 317 ; CPU: 71.33% ; MEM: 7953.51 MB
iteration: 318 ; CPU: 72.05% ; MEM: 7964.78 MB
iteration: 319 ; CPU: 68.80% ; MEM: 7963.97 MB
iteration: 320 ; CPU: 69.48% ; MEM: 7973.09 MB
iteration: 321 ; CPU: 70.11% ; MEM: 7979.01 MB
iteration: 322 ; CPU: 70.55% ; MEM: 7975.12 MB
iteration: 323 ; CPU: 70.97% ; MEM: 7975.72 MB
iteration: 324 ; CPU: 71.41% ; MEM: 7976.03 MB
iteration: 325 ; CPU: 68.64% ; MEM: 7976.69 MB
iteration: 326 ; CPU: 69.30% ; MEM: 7999.64 MB
iteration: 327 ; CPU: 69.65% ; MEM: 8001.30 MB
iteration: 328 ; CPU: 69.95% ; MEM: 7995.17 MB
iteration: 329 ; CPU: 70.33% ; MEM: 8002.52 MB
iteration: 330 ; CPU: 67.98% ; MEM: 8008.08 MB
iteration: 331 ; CPU: 68.26% ; MEM: 8008.72 MB
iteration: 332 ; CPU: 68.64% ; MEM: 8017.50 MB
iteration: 333 ; CPU: 69.04% ; MEM: 8018.41 MB
iteration: 334 ; CPU: 69.35% ; MEM: 8018.69 MB
iteration: 335 ; CPU: 67.31% ; MEM: 8018.93 MB
iteration: 336 ; CPU: 67.67% ; MEM: 8022.58 MB
iteration: 337 ; CPU: 67.98% ; MEM: 8022.58 MB
iteration: 338 ; CPU: 68.28% ; MEM: 8022.58 MB
iteration: 339 ; CPU: 68.59% ; MEM: 8022.72 MB
iteration: 340 ; CPU: 68.91% ; MEM: 8022.82 MB
iteration: 341 ; CPU: 67.15% ; MEM: 8022.82 MB
iteration: 342 ; CPU: 67.49% ; MEM: 8023.01 MB
iteration: 343 ; CPU: 67.86% ; MEM: 8023.19 MB
iteration: 344 ; CPU: 68.24% ; MEM: 8023.23 MB
iteration: 345 ; CPU: 68.45% ; MEM: 8023.23 MB
iteration: 346 ; CPU: 66.89% ; MEM: 8023.23 MB
iteration: 347 ; CPU: 67.18% ; MEM: 8023.49 MB
iteration: 348 ; CPU: 67.47% ; MEM: 8023.49 MB
iteration: 349 ; CPU: 67.79% ; MEM: 8023.49 MB
iteration: 350 ; CPU: 68.10% ; MEM: 8023.49 MB
iteration: 351 ; CPU: 66.61% ; MEM: 8023.49 MB
iteration: 352 ; CPU: 66.85% ; MEM: 8023.49 MB
iteration: 353 ; CPU: 67.14% ; MEM: 8023.49 MB
iteration: 354 ; CPU: 67.37% ; MEM: 8023.49 MB
iteration: 355 ; CPU: 67.69% ; MEM: 8023.49 MB
iteration: 356 ; CPU: 67.96% ; MEM: 8023.49 MB
iteration: 357 ; CPU: 66.56% ; MEM: 8025.81 MB
iteration: 358 ; CPU: 66.82% ; MEM: 8039.32 MB
iteration: 359 ; CPU: 67.10% ; MEM: 8039.31 MB
iteration: 360 ; CPU: 67.37% ; MEM: 8039.31 MB
iteration: 361 ; CPU: 67.67% ; MEM: 8039.46 MB
iteration: 362 ; CPU: 66.35% ; MEM: 8040.49 MB
iteration: 363 ; CPU: 66.61% ; MEM: 8040.49 MB
iteration: 364 ; CPU: 66.88% ; MEM: 8040.65 MB
iteration: 365 ; CPU: 67.13% ; MEM: 8040.65 MB
iteration: 366 ; CPU: 67.46% ; MEM: 8040.65 MB
iteration: 367 ; CPU: 67.73% ; MEM: 8040.65 MB
iteration: 368 ; CPU: 66.44% ; MEM: 8040.65 MB
iteration: 369 ; CPU: 66.74% ; MEM: 8040.65 MB
iteration: 370 ; CPU: 67.00% ; MEM: 8041.11 MB
iteration: 371 ; CPU: 67.27% ; MEM: 8041.11 MB
iteration: 372 ; CPU: 67.52% ; MEM: 8041.37 MB
iteration: 373 ; CPU: 66.35% ; MEM: 8041.37 MB
iteration: 374 ; CPU: 66.59% ; MEM: 8041.36 MB
iteration: 375 ; CPU: 66.83% ; MEM: 8041.36 MB
iteration: 376 ; CPU: 67.13% ; MEM: 8041.66 MB
iteration: 377 ; CPU: 67.40% ; MEM: 8041.66 MB
iteration: 378 ; CPU: 66.20% ; MEM: 8041.66 MB
iteration: 379 ; CPU: 66.49% ; MEM: 8041.82 MB
iteration: 380 ; CPU: 66.74% ; MEM: 8041.93 MB
iteration: 381 ; CPU: 67.04% ; MEM: 8041.93 MB
iteration: 382 ; CPU: 67.23% ; MEM: 8042.54 MB
iteration: 383 ; CPU: 67.50% ; MEM: 8042.54 MB
iteration: 384 ; CPU: 66.36% ; MEM: 8042.54 MB
iteration: 385 ; CPU: 66.64% ; MEM: 8042.54 MB
iteration: 386 ; CPU: 66.91% ; MEM: 8042.54 MB
iteration: 387 ; CPU: 67.16% ; MEM: 8042.79 MB
iteration: 388 ; CPU: 67.45% ; MEM: 8042.79 MB
iteration: 389 ; CPU: 66.37% ; MEM: 8042.79 MB
iteration: 390 ; CPU: 66.60% ; MEM: 8042.79 MB
iteration: 391 ; CPU: 66.86% ; MEM: 8042.79 MB
iteration: 392 ; CPU: 67.12% ; MEM: 8042.79 MB
